date,open,high,low,close,volume,adjusted_close,change_percent,avg_vol_20d
2012-03-06,135.35,135.43,134.36,134.75,202129797,108.2844,-1.46,147809457.85
2012-03-07,135.06,135.91,134.93,135.69,143692094,109.0398,0.7,148217657.85
2012-03-08,136.52,137.32,136.24,137.04,116968797,110.1247,0.99,147098027.4
2012-03-09,137.3,137.93,137.13,137.57,122836797,110.5506,0.39,145809727.4
2012-03-12,137.55,137.76,137.09,137.58,104003508,110.5586,0.01,142614527.8
2012-03-13,138.32,140.13,138.09,140.062,184090406,112.5531,1.8,146026958.25
2012-03-14,140.1,140.445,139.48,139.91,145163500,112.431,-0.11,144985323.85
2012-03-15,140.12,140.78,139.76,140.72,165118406,113.0819,0.58,143481488.7
2012-03-16,140.36,140.48,140.0,140.3,152893406,113.2384,0.14,141797773.85
2012-03-19,140.21,141.28,140.11,140.85,125291000,113.6823,0.39,141568853.95
2012-03-20,140.05,140.61,139.64,140.44,121729602,113.3514,-0.29,140953219.2
2012-03-21,140.52,140.65,139.92,140.21,122388398,113.1658,-0.16,140849878.95
2012-03-22,139.18,139.55,138.74,139.2,135216703,112.3506,-0.72,140725504.7
2012-03-23,139.32,139.81,138.55,139.65,120521000,112.7138,0.32,141474599.6
2012-03-26,140.65,141.61,140.6,141.61,120163906,114.2957,1.4,140196355.05
2012-03-27,141.74,141.83,141.08,141.17,119868398,113.9406,-0.31,139721985.1
2012-03-28,141.1,141.32,139.64,140.47,148562000,113.3756,-0.5,137853349.95
2012-03-29,139.64,140.4934,139.09,140.23,164963594,113.1819,-0.17,138850224.95
2012-03-30,140.92,141.05,140.05,140.81,135486703,113.65,0.41,139592649.95
2012-04-02,140.64,142.21,140.36,141.84,151740984,114.4814,0.73,140141449.95
2012-04-03,141.64,141.8826,140.43,141.26,155806594,114.0132,-0.41,137825289.8
2012-04-04,140.22,140.339,139.34,139.86,146895906,112.8833,-0.99,137985480.4
2012-04-05,139.38,140.2,139.26,139.79,137439297,112.8268,-0.05,139009005.4
2012-04-09,138.03,139.8444,137.84,138.22,127555906,111.5596,-1.12,139244960.85
2012-04-10,137.95,138.34,135.76,135.9,235360297,109.6871,-1.68,145812800.3
2012-04-11,137.29,137.54,136.75,137.0,154132891,110.5749,0.81,144314924.55
